id,scanner,title,severity,cvss_score,owasp,description,remediation,url,timestamp
368eade0-17d3-449a-b426-f4194321d9ce,rate_limit,No rate-limit headers observed on SPA,info,0.0,A07:2021-Identification and Authentication Failures,Sent 8 GET requests; no X-RateLimit-* or 429 observed. Status distribution: {200: 8}. Latency p50=213ms.,Document rate limits at CDN/WAF/Supabase Auth layer; expose Retry-After on throttled endpoints.,https://app.vectracargo.com.br/,2026-08-20T02:25:07.728825+00:00
d10fe2cd-3cbc-4b7c-ba87-e97fbbc67933,cors,No critical CORS misconfigurations detected,info,0.0,A05:2021-Security Misconfiguration,Tested malicious origins; no reflect+credentials pattern.,Re-test after CORS policy changes.,,2026-08-20T02:25:14.660399+00:00
c10be290-19b0-49cf-a831-66e6d24b2674,pii_leak,No sensitive patterns in scanned public paths,info,0.0,A01:2021-Broken Access Control;A02:2021-Cryptographic Failures,Passive regex scan on configured paths.,Extend scan with authenticated endpoints via --token.,,2026-08-20T02:25:16.226293+00:00
3dbc1749-96c8-413c-b264-94a27ae20acb,user_enum,No obvious user enumeration signals,info,0.0,A07:2021-Identification and Authentication Failures,Compared login/recover responses (limited passive sample).,Configure existing_email in preset for deeper login compare.,,2026-08-20T02:25:16.499992+00:00
d2bfd325-d162-4fff-9cb4-1a718c9a21a4,clickjacking,Clickjacking headers present or CSP frame-ancestors set,info,0.0,A05:2021-Security Misconfiguration,Checked X-Frame-Options and CSP on SPA targets.,Verify headers on all routes including error pages.,,2026-08-20T02:25:17.010025+00:00
